act,frame,error
walking,0,0.0
walking,1,0.0
walking,2,0.0
walking,3,0.0
walking,4,0.0
walking,5,0.0
walking,6,0.0
walking,7,0.0
walking,8,0.0
walking,9,0.0
walking,10,0.0
walking,11,0.35792923
walking,12,0.5916364
walking,13,0.8117229
walking,14,1.0011903
walking,15,1.1448138
walking,16,1.2155577
walking,17,1.3381348
walking,18,1.4672133
walking,19,1.5906503
walking,20,1.6720415
walking,21,1.7307248
walking,22,1.8400033
walking,23,1.8901095
walking,24,1.8559885
act,frame,error
eating,0,0.0
eating,1,0.0
eating,2,0.0
eating,3,0.0
eating,4,0.0
eating,5,0.0
eating,6,0.0
eating,7,0.0
eating,8,0.0
eating,9,0.0
eating,10,0.0
eating,11,0.33216268
eating,12,0.5701623
eating,13,0.75675094
eating,14,1.0302283
eating,15,1.216051
eating,16,1.381148
eating,17,1.5686761
eating,18,1.7644327
eating,19,1.9832692
eating,20,2.2339451
eating,21,2.443866
eating,22,2.5343947
eating,23,2.5497122
eating,24,2.586518
act,frame,error
smoking,0,0.0
smoking,1,0.0
smoking,2,0.0
smoking,3,0.0
smoking,4,0.0
smoking,5,0.0
smoking,6,0.0
smoking,7,0.0
smoking,8,0.0
smoking,9,0.0
smoking,10,0.0
smoking,11,0.48133624
smoking,12,0.7384791
smoking,13,1.0417958
smoking,14,1.4481332
smoking,15,1.7182604
smoking,16,1.9225646
smoking,17,2.0967288
smoking,18,2.357499
smoking,19,2.4356453
smoking,20,2.539276
smoking,21,2.5335803
smoking,22,2.5989192
smoking,23,2.6425276
smoking,24,2.6716518
act,frame,error
discussion,0,0.0
discussion,1,0.0
discussion,2,0.0
discussion,3,0.0
discussion,4,0.0
discussion,5,0.0
discussion,6,0.0
discussion,7,0.0
discussion,8,0.0
discussion,9,0.0
discussion,10,0.0
discussion,11,0.32980505
discussion,12,0.6465494
discussion,13,1.0514113
discussion,14,1.4338322
discussion,15,1.7649027
discussion,16,1.9810933
discussion,17,2.1670935
discussion,18,2.3118975
discussion,19,2.4598343
discussion,20,2.6620753
discussion,21,3.43513
discussion,22,3.673008
discussion,23,3.631982
discussion,24,3.8966575
act,frame,error
directions,0,0.0
directions,1,0.0
directions,2,0.0
directions,3,0.0
directions,4,0.0
directions,5,0.0
directions,6,0.0
directions,7,0.0
directions,8,0.0
directions,9,0.0
directions,10,0.0
directions,11,0.5739667
directions,12,1.013641
directions,13,1.2632308
directions,14,1.4124765
directions,15,1.4711498
directions,16,1.663403
directions,17,1.955905
directions,18,2.1928856
directions,19,2.3285425
directions,20,2.4384494
directions,21,2.5106215
directions,22,2.5645945
directions,23,2.5899627
directions,24,2.6145053
act,frame,error
greeting,0,0.0
greeting,1,0.0
greeting,2,0.0
greeting,3,0.0
greeting,4,0.0
greeting,5,0.0
greeting,6,0.0
greeting,7,0.0
greeting,8,0.0
greeting,9,0.0
greeting,10,0.0
greeting,11,0.59987676
greeting,12,1.1540546
greeting,13,1.5937847
greeting,14,1.9204
greeting,15,2.2473297
greeting,16,2.5697384
greeting,17,2.8719597
greeting,18,3.0993497
greeting,19,3.3279622
greeting,20,3.5639722
greeting,21,4.145645
greeting,22,4.4571857
greeting,23,4.7102065
greeting,24,4.8012166
act,frame,error
phoning,0,0.0
phoning,1,0.0
phoning,2,0.0
phoning,3,0.0
phoning,4,0.0
phoning,5,0.0
phoning,6,0.0
phoning,7,0.0
phoning,8,0.0
phoning,9,0.0
phoning,10,0.0
phoning,11,0.38460618
phoning,12,2.118022
phoning,13,2.5870972
phoning,14,2.8299556
phoning,15,2.9431484
phoning,16,3.281333
phoning,17,3.425932
phoning,18,3.5613203
phoning,19,3.693547
phoning,20,3.7630627
phoning,21,3.875113
phoning,22,3.9232066
phoning,23,3.9398577
phoning,24,4.1420193
act,frame,error
posing,0,0.0
posing,1,0.0
posing,2,0.0
posing,3,0.0
posing,4,0.0
posing,5,0.0
posing,6,0.0
posing,7,0.0
posing,8,0.0
posing,9,0.0
posing,10,0.0
posing,11,0.4270518
posing,12,0.73361355
posing,13,1.1956549
posing,14,1.7483907
posing,15,2.1938531
posing,16,2.7359955
posing,17,3.4021137
posing,18,4.057698
posing,19,4.5416155
posing,20,4.88135
posing,21,5.1657844
posing,22,5.4444804
posing,23,5.649519
posing,24,5.7498612
act,frame,error
purchases,0,0.0
purchases,1,0.0
purchases,2,0.0
purchases,3,0.0
purchases,4,0.0
purchases,5,0.0
purchases,6,0.0
purchases,7,0.0
purchases,8,0.0
purchases,9,0.0
purchases,10,0.0
purchases,11,0.55643994
purchases,12,1.2140315
purchases,13,1.6766511
purchases,14,1.8994741
purchases,15,2.1293895
purchases,16,2.4566648
purchases,17,2.7738829
purchases,18,3.0368223
purchases,19,3.1983943
purchases,20,3.2125275
purchases,21,3.374069
purchases,22,3.708996
