act,frame,error
walking,0,0.0
walking,1,0.031714056
walking,2,0.07283945
walking,3,0.0856908
walking,4,0.06258061
walking,5,0.035765186
walking,6,0.028129429
walking,7,0.06620735
walking,8,0.08497222
walking,9,0.029143745
walking,10,0.08379771
walking,11,0.41113043
walking,12,0.7028609
walking,13,0.96941984
walking,14,1.1880704
walking,15,1.3368565
walking,16,1.3834392
walking,17,1.4936652
walking,18,1.6140534
walking,19,1.7405298
walking,20,1.8525624
walking,21,1.9007257
walking,22,1.9898311
walking,23,2.0661578
walking,24,2.0560346
walking,25,2.0619473
walking,26,2.0870576
walking,27,2.1836157
walking,28,2.18389
walking,29,2.186946
walking,30,2.145949
walking,31,2.1630275
walking,32,2.1598904
walking,33,2.1241457
walking,34,2.1354885
walking,35,2.2042434
walking,36,2.2953281
walking,37,2.332355
walking,38,2.3020914
walking,39,2.2844439
walking,40,2.2102585
walking,41,2.1657996
walking,42,2.1331546
walking,43,2.095441
walking,44,2.1175246
walking,45,2.124035
walking,46,2.1217797
walking,47,2.551065
walking,48,2.5661201
walking,49,2.613782
act,frame,error
eating,0,0.0
eating,1,0.031930212
eating,2,0.053649142
eating,3,0.06755453
eating,4,0.049414642
eating,5,0.033061255
eating,6,0.023599064
eating,7,0.05839586
eating,8,0.0684991
eating,9,0.030047543
eating,10,0.0749988
eating,11,0.36420727
eating,12,0.6163559
eating,13,0.80376214
eating,14,1.06545
eating,15,1.2448245
eating,16,1.3762006
eating,17,1.5559362
eating,18,1.7349013
eating,19,1.967469
eating,20,2.2531927
eating,21,2.4773288
eating,22,2.5769398
eating,23,2.5953507
eating,24,2.6447861
eating,25,2.7103539
eating,26,2.7409194
eating,27,2.7447147
eating,28,2.7586582
eating,29,2.831172
eating,30,2.926647
eating,31,3.0495722
eating,32,3.20731
eating,33,3.335252
eating,34,3.406807
eating,35,3.452378
eating,36,3.506646
eating,37,3.5375094
eating,38,3.5935862
eating,39,3.6146703
eating,40,3.728114
eating,41,3.8131247
eating,42,3.8818436
eating,43,3.9475625
eating,44,3.963915
eating,45,3.9200172
eating,46,3.822288
eating,47,3.696638
eating,48,3.5810676
eating,49,3.5292213
act,frame,error
smoking,0,0.0
smoking,1,0.028149823
smoking,2,0.034428168
smoking,3,0.043578032
smoking,4,0.026125059
smoking,5,0.020391861
smoking,6,0.0185044
smoking,7,0.04481928
smoking,8,0.039074507
smoking,9,0.031073218
smoking,10,0.044098537
smoking,11,0.49064714
smoking,12,0.7621242
smoking,13,1.0662254
smoking,14,1.4610265
smoking,15,1.7455826
smoking,16,1.9620726
smoking,17,2.145374
smoking,18,2.4195633
smoking,19,2.5178652
smoking,20,2.6285083
smoking,21,2.6182184
smoking,22,2.6636627
smoking,23,2.711302
smoking,24,2.7217917
smoking,25,2.660233
smoking,26,2.6800885
smoking,27,2.7365737
smoking,28,2.8357139
smoking,29,2.9715366
smoking,30,3.163751
smoking,31,3.3877728
smoking,32,3.6314073
smoking,33,3.8795357
smoking,34,4.045013
smoking,35,4.1389318
smoking,36,4.1563635
smoking,37,4.1906614
smoking,38,4.245483
smoking,39,4.2617455
smoking,40,4.2539687
smoking,41,4.3023553
smoking,42,4.318099
smoking,43,4.268846
smoking,44,4.321656
smoking,45,4.3271737
smoking,46,4.4408703
smoking,47,4.367359
smoking,48,4.3571124
smoking,49,4.353993
act,frame,error
discussion,0,0.0
discussion,1,0.02893488
discussion,2,0.030281344
discussion,3,0.05293657
discussion,4,0.028940726
discussion,5,0.019503603
discussion,6,0.020131301
discussion,7,0.046563946
discussion,8,0.04450708
discussion,9,0.034475554
discussion,10,0.055382878
discussion,11,0.39076415
discussion,12,0.7587277
discussion,13,1.1887904
discussion,14,1.5930675
discussion,15,1.9259545
discussion,16,2.1369252
discussion,17,2.293096
discussion,18,2.407974
discussion,19,2.5157983
discussion,20,2.690394
discussion,21,3.433965
discussion,22,3.6714485
discussion,23,3.7518644
discussion,24,4.0080824
discussion,25,4.274108
discussion,26,4.4765863
discussion,27,4.7006903
discussion,28,4.888613
discussion,29,4.991336
discussion,30,5.0416193
discussion,31,5.080052
discussion,32,5.1291614
discussion,33,5.135946
discussion,34,5.0745816
discussion,35,5.046621
discussion,36,4.9971156
discussion,37,4.9517827
discussion,38,4.8308845
discussion,39,4.6574
discussion,40,4.497163
discussion,41,4.406243
discussion,42,4.352822
discussion,43,4.3055816
discussion,44,4.298013
discussion,45,4.356474
discussion,46,4.4161158
discussion,47,4.4661484
discussion,48,4.5207615
discussion,49,4.610048
act,frame,error
directions,0,0.0
directions,1,0.0257381
directions,2,0.029160412
directions,3,0.049108952
directions,4,0.025876451
directions,5,0.018815689
directions,6,0.020936541
directions,7,0.04991758
directions,8,0.04620503
directions,9,0.03428181
directions,10,0.057626333
directions,11,0.6347818
directions,12,1.1244648
directions,13,1.4026257
directions,14,1.5445955
directions,15,1.5809848
directions,16,1.7277261
directions,17,1.9949703
directions,18,2.1969423
